species,si_ref_number,ref_id,doi
Ctenopharyngodon_idella,95,xia2010,10.1186/1471-2164-11-135
Cucumis_melo,96,diaz2011,10.1186/1471-2229-11-111
Cucumis_sativus,97,zhu2016,10.3389/fpls.2016.00437
Cucurbita_maxima,98,zhang2015a,10.1186/s12864-015-2312-8
Cucurbita_moschata,99,gong2008,10.1139/g08-072
Cucurbita_pepo,100,monteropau2017,10.1186/s12864-016-3439-y
Culex_pipiens,101,hickner2013,10.1093/jhered/est040
Cyanistes_caeruleus,102,hansson2009,10.1038/hdy.2009.107
Cynara_cardunculus,103,portis2009,10.1007/s00122-009-1159-2
Cynodon_dactylon,104,harrisshultz2010,10.21273/jashs.135.6.511
Cynoglossus_semilaevis,105,song2012,10.1371/journal.pone.0052097
Cyprinus_carpio,106,zhao2013a,10.1371/journal.pone.0063928
Dactylis_glomerata,107,zhao2016b,10.1038/srep29345
Danio_rerio,108,bradley2011,10.1534/g3.111.000190
Daphnia_magna,109,dukic2016,10.1186/s12863-016-0445-7
Daphnia_pulex,110,cristescu2006,10.1016/j.ygeno.2006.03.007
Daucus_carota,111,cavagnaro2014,10.1186/1471-2164-15-1118
Dianthus_caryophyllus,112,yagi2013,10.1186/1471-2164-14-734
Dicentrarchus_labrax,113,chistiakov2008,10.1111/j.1365-2052.2008.01786.x
Drosophila_serrata,114,stocker2012,10.1534/g3.111.001354
Ectocarpus_siliculosus,115,heesch2010,10.1111/j.1469-8137.2010.03273.x
Eimeria_maxima,116,blake2011,10.1016/j.ijpara.2010.09.004
Eimeria_tenella,117,shirley2000,10.1101/gr.149200
Elaeis_guineensis,118,ting2016,10.1186/s12864-016-2607-4
Elaeis_oleifera,119,montoya2013,10.1007/s11295-013-0629-5
Elymus_lanceolatus,120,mott2011,10.1139/g11-045
Epinephelus_aeneus,121,dor2014,10.1534/g3.114.011387
Equus_caballus,122,swinburne2006,10.1016/j.ygeno.2005.09.001
Eremochloa_ophiuroides,123,zheng2013,10.1016/j.scienta.2013.03.030
Eriobotrya_japonica,124,fukuda2016,10.1007/s11295-016-1040-9
Eriocheir_sinensis,125,cui2015,10.1038/hdy.2015.26
Esox_lucius,126,rondeau2014,10.1371/journal.pone.0102089
Eucalyptus_camaldulensis,127,agrama2002,
Eucalyptus_grandis,128,hudson2012,10.1186/1471-2164-13-240
Eucalyptus_tereticornis,129,li2015a,10.1371/journal.pone.0145144
Eucalyptus_urophylla,130,li2015b,10.1371/journal.pone.0145144
Eucommia_ulmoides,131,li2014a,10.3390/ijms15022053
Fagopyrum_esculentum,132,yabe2014,10.1270/jsbbs.64.291
Felis_silvestris,133,li2016,10.1534/g3.116.028746
Fenneropenaeus_chinensis,134,wang2012,10.1134/s102279541204014x
Festuca_arundinacea,135,dierking2015,10.3835/plantgenome2014.07.0032
Ficedula_albicollis,136,backstrom2008,10.1534/genetics.108.088195
Fragaria_iinumae,137,mahoney2016,10.3835/plantgenome2015.08.0071
Fragaria_vesca,138,davik2015,10.1371/journal.pone.0137746
Fragaria_xananassa,139,sargent2016,10.1016/j.plantsci.2015.07.004
Fusarium_circinatum,140,devos2007,10.1016/j.fgb.2007.02.007
Fusarium_graminearum,141,lee2008,10.1128/aem.01866-07
Fusarium_oxysporum,142,teunissen2003,10.1007/s00438-003-0825-3
Fusarium_verticillioides,143,jurgenson2002,10.1128/aem.68.4.1972-1979.2002
Gadus_morhua,144,hubert2010,10.1186/1471-2164-11-191
Gallus_gallus,145,pengelly2016,10.1038/hdy.2016.47
Gasterosteus_aculeatus,146,rastas2015,10.1093/gbe/evv250
Gentiana_scabra,147,nakatsuka2012,10.1186/1471-2164-13-672
Globodera_rostochiensis,148,vandervoort1999,10.1007/s004380051051
Glycine_max,149,song2016,10.1186/s12864-015-2344-0
Gossypium_barbadense,150,shi2014,10.1111/jipb.12288
Gossypium_hirsutum,151,jia2016,10.1186/s12864-016-3269-y
Gossypium_raimondii,152,wang2013,10.1534/g3.113.006890
Gossypium_tomentosum,153,hou2013,10.1007/s12041-013-0286-3
Haliotis_diversicolor,154,ren2016,10.1016/j.aquaculture.2015.12.026
Haliotis_midae,155,vervalle2013,10.2983/035.032.0115
Haplochromis_chilotes,156,henning2014,10.1111/mec.12860
Haplochromis_sauvagei,157,henning2017,10.1111/evo.13206
Helianthus_annuus,158,celik2016,10.1007/s11032-016-0558-8
Heliconius_melpomene,159,davey2016,10.1534/g3.115.023655
Heterodera_glycines,160,atibalentja2005,10.1007/s00438-005-1125-x
Hevea_brasiliensis,161,shearman2015,10.1371/journal.pone.0121961
Hibiscus_cannabinus,162,chen2011,10.1111/j.1439-0523.2011.01879.x
Hieracium_,163,shirasawa2014,10.1093/aob/mcu249
Hippoglossus_hippoglossus,164,palaiokostas2013,10.1186/1471-2164-14-566
Hordeum_vulgare,165,zhou2016a,10.1186/s12863-016-0438-6
Humulus_lupulus,166,henning2015,10.1007/s10681-015-1356-9
Hyla_aborea,167,brelsford2015,10.1038/hdy.2015.83
Hypophthalmichthys_molitrix,168,guo2013,10.1016/j.aquaculture.2013.06.027
Hyriopsis_cumingii,169,bai2016,10.1038/srep32608
Ictalurus_punctatus,170,liu2015a,10.1111/age.12372
Ipomoea_batatas,171,zhao2013b,10.1007/s11032-013-9908-y
Ixodes_scapularis,172,ullmann2003,10.1046/j.1365-2583.2003.00402.x
Jatropha_curcas,173,wu2015,10.1111/tpj.12761
Juglans_regia,174,zhu2015,10.1186/s12864-015-1822-8
Kryptolebias_marmoratus,175,kanamori2016,10.1534/g3.115.022699
Labeo_rohita,176,robinson2014,
Lactuca_sativa,177,truco2013,10.1534/g3.112.004929
Larimichthys_crocea,178,ao2015,10.3390/ijms161125951
Larix_kaempferi,179,guan2011,10.5504/bbeq.2011.0007
Lates_calcarifer,180,wang2017a,10.1186/s12864-016-3462-z
Lens_culinaris,181,sudheesh2016,10.3389/fpls.2016.01604
Lepomis_macrochirus,182,wang2009b,10.1007/s10499-009-9303-1
Leptinotarsa_decemlineata,183,hawthorne2001b,10.1093/genetics/158.2.695
Linum_usitatissimum,184,cloutier2012,10.1007/s00122-012-1953-0
Litopenaeus_vannamei,185,yu2015,10.1038/srep15612
Lolium_multiflorum,186,guan2014,10.1111/grs.12055
Lolium_perenne,187,velmurugan2016,10.1093/aob/mcw081
Lotus_japonicus,188,wang2008b,10.1093/dnares/dsn022
Lucania_goodei,189,berdan2014a,10.1534/g3.114.012096
Lucania_parva,190,berdan2014b,10.1534/g3.114.012096
Luffa_acutangula,191,wu2016,10.3389/fpls.2016.00980
Lupinus_albus,192,vipin2013,10.1270/jsbbs.63.292
Lupinus_angustifolius,193,yang2012,10.1007/s00122-012-1997-1
Macaca_mulatta,194,rogers2006,10.1016/j.ygeno.2005.10.004
Macropus_eugenii,195,wang2011,10.1186/1471-2156-12-72
Magnaporthe_grisea,196,zheng2008,10.1016/j.fgb.2008.07.012
Malus_domestica,197,dipierro2016,10.1038/hortres.2016.57
Malus_sieversii,198,liu2016a,
Malus_pumila,199,clark2014,10.1007/s11295-014-0709-1
Mangifera_indica,200,luo2016a,10.3389/fpls.2016.01310
Manihot_esculenta,201,alaba2015,
Marsupenaeus_japonicus,202,lu2016,10.1007/s00438-016-1192-1
Medicago_sativa,203,li2014b,10.1534/g3.114.012245
Medicago_truncatula,204,gorton2012,10.1534/g3.112.003269
Melampsora_lini,205,anderson2016,10.1186/s12864-016-3011-9
Meleagris_gallopavo,206,aslam2010,10.1186/1471-2164-11-647
Meloidogyne_hapla,207,thomas2012,10.1534/g3.112.002261
Melospiza_melodia,208,nietlisbach2015,10.1111/1755-0998.12414
Metriaclima_zebra,209,oquin2013,10.1186/1471-2164-14-287
Microtus_ochrogaster,210,mcgraw2011,10.1186/1471-2156-12-60
Mimulus_guttatus,211,holeski2014,10.1534/g3.113.010124
Miscanthus_sinensis,212,liu2015b,10.1111/gcbb.12275
Misgurnus_anguillicaudatus,213,morishima2007,10.1007/s10709-007-9165-2
Monodelphis_domestica,214,samollow2007,10.1007/s10577-007-1123-4
Musa_acuminata,215,hippolyte2010,10.1186/1471-2229-10-65
Mycosphaerella_graminicola,216,kema2002,10.1093/genetics/161.4.1497
Nasonia_giraulti,217,diao2016,10.1534/g3.116.029074
Nelumbo_lutea,218,zhang2014,10.1186/1471-2164-15-372
Nelumbo_nucifera,219,liu2016b,10.1186/s12864-016-2781-4
Nicotiana_langsdorffii,220,zhang2012,10.3389/fpls.2012.00185
Nicotiana_tabacum,221,gong2016,10.1007/s11032-016-0514-7
Nilaparvata_lugens,222,jairin2012,10.1093/dnares/dss030
Nothobranchius_furzeri,223,kirschner2012,10.1111/j.1474-9726.2011.00780.x
Olea_europaea,224,ipek2016,10.1007/s10528-016-9721-5
Oncorhynchus_kisutch,225,mcclelland2008,10.1111/j.1365-2052.2008.01699.x
Oncorhynchus_mykiss,226,guyomard2012,10.1186/1471-2156-13-15
Oncorhynchus_nerka,227,larson2015,10.1093/jhered/esv099
Oncorhynchus_tshawytscha,228,mckinney2015,10.1111/1755-0998.12479
Oreochromis_mossambicus,229,liu2013a,10.1186/1471-2164-14-58
Oreochromis_niloticus,230,kocher1998,10.1093/genetics/148.3.1225
Oryctolagus_cuniculus,231,sternstein2015,10.1186/s12863-015-0168-1
Oryza_rufipogon,232,luo2016b,10.1016/s2095-3119(16)61465-x
Oryza_sativa,233,deleon2016,10.1186/s12284-016-0125-2
Ostrea_edulis,234,harrang2015,10.1016/j.aquaculture.2015.06.019
Ovis_aries,235,johnston2016,10.1534/genetics.115.185553
Ovis_canadensis,236,poissant2010,10.1186/1471-2164-11-524
Panicum_virgatum,237,liu2012a,10.1534/g3.111.001503
Papilio_glaucus,238,winter2009,10.1093/jhered/esp067
Papio_hamadryas,239,cox2006,10.1016/j.ygeno.2006.03.020
Paralichthys_olivaceus,240,liu2013b,10.1111/jfb.12014
Parus_major,241,vanoers2013,10.1038/hdy.2013.107
Patinopecten_yessoensis,242,wang2017b,10.1038/s41559-017-0120
Penaeus_monodon,243,baranski2014,10.1371/journal.pone.0085413
Pennisetum_glaucum,244,punnuri2016,10.3835/plantgenome2015.10.0106
Peromyscus_maniculatus,245,kenneyhunt2014,10.1007/s00335-014-9500-8
Persea_americana,246,borrone2009,
Petunia_axillaris,247,bossolini2011,10.1139/g10-116
Phaeosphaeria_nodorum,248,malkus2009,10.1007/s10658-009-9454-y
Phalloceros_caudimaculatus,249,gutierrez2011,10.1007/s12041-011-0085-7
Phaseolus_vulgaris,250,song2015,10.1534/g3.115.020594
Phoenix_dactylifera,251,mathew2014,10.1186/1471-2164-15-285
Physcomitrella_patens,252,kamisugi2008,10.1111/j.1365-313x.2008.03637.x
Phytophthora_infestans,253,vanderlee2004,10.1534/genetics.104.029652
Picea_abies,254,lind2014,10.1371/journal.pone.0101049
Pinus_balfouriana,255,friedline2015,10.1007/s11295-015-0866-x
Pinus_elliottii,256,yang2013,10.1007/s00468-013-0890-0
Pinus_koraiensis,257,chen2010b,10.1007/s00468-010-0438-5
Pinus_lambertiana,258,jermstad2010,10.1007/s11295-010-0347-1
Pinus_massoniana,259,chen2014a,10.1515/sg-2014-0001
Pinus_pinaster,260,chancerel2013,10.1186/1741-7007-11-50
Pinus_radiata,261,moragasuazo2014,10.1007/s00468-014-1090-2
Pinus_taeda,262,westbrook2015,10.1534/g3.115.019588
Pisum_sativum,263,boutet2016,10.1186/s12864-016-2447-2
Plasmodium_chabaudi,264,martinello2005,
Plasmodium_falciparum,265,jiang2011,10.1186/gb-2011-12-4-r33
Poecilia_reticulata,266,tripathi2009,10.1098/rspb.2008.1930
Pogonomyrmex_rugosus,267,sirvio2010,10.1111/j.1558-5646.2010.01170.x
Populus_adenopoda,268,wang2009c,10.1007/s10681-009-0085-3
Populus_alba,269,paolucci2010,10.1007/s11295-010-0297-7
Populus_deltoides,270,mousavi2016,10.1186/s12864-016-3003-9
Populus_nigra,271,gaudet2008,
Populus_tremula,272,pakull2009,10.1007/s11295-009-0204-2
Portunus_trituberculatus,273,liu2012b,10.1016/j.aquaculture.2012.01.034
Primulina_eburnea,274,feng2016,10.1007/s12041-016-0650-1
Pristionchus_pacificus,275,srinivasan2002,10.1093/genetics/162.1.129
Prunus_armeniaca,276,lalli2008,10.1007/s11295-007-0125-x
Prunus_avium,277,wang2015a,10.1371/journal.pone.0141261
Prunus_dulcis,278,tavassolian2010,
Prunus_kansuensis,279,cao2011,10.21273/jashs.136.3.190
Prunus_mume,280,zhang2015b,10.1093/dnares/dsv003
Prunus_persica,281,nunezlillo2015,10.1007/s11295-015-0911-9
Pseudocercospora_fijiensis,282,arangoisaza2016,10.1371/journal.pgen.1005876
Punica_granatum,283,sarkhosh2012,10.1080/14620316.2012.11512821
Pyrus_communis,284,wu2014,10.1093/jxb/eru311
Quercus_,285,bodenes2016,10.1093/dnares/dsw001
Rana_temporaria,286,cano2011,10.1038/hdy.2011.39
Raphanus_sativus,287,mun2014,10.1007/s00122-014-2426-4
Rattus_norvegicus,288,steen1999,10.1101/gr.9.6.ap1
Rhyzopertha_dominica,289,schlipalius2002,10.1093/genetics/161.2.773
Ricinus_communis,290,rukam2016,
Rubus_idaeus,291,ward2013,10.1186/1471-2164-14-2
Rubus_occidentalis,292,bushakra2012,10.1007/s00122-012-1835-5
Ruditapes_philippinarum,293,nie2017,10.1038/s41598-017-00246-0
Saccharina_japonica,294,zhang2015c,10.1186/s12864-015-1371-1
Salmo_salar,295,tsai2016,10.1534/g3.116.029009
Salmo_trutta,296,leitwein2017,10.1534/g3.116.038497
Salvia_miltiorrhiza,297,liu2016c,10.1038/srep24070
Schistosoma_mansoni,298,criscione2009,10.1186/gb-2009-10-6-r71
Sciaenops_ocellatus,299,hollenbeck2015,10.1016/j.aquaculture.2014.08.045
Scleropages_formosus,300,shen2014,10.1111/1755-0998.12212
Scophthalmus_maximus,301,wang2015b,10.1371/journal.pone.0120410
Scylla_paramamosain,302,ma2016,10.4238/gmr.15026929
Secale_cereale,303,milczarski2016,10.1007/s13353-016-0347-4
Seriola_quinqueradiata,304,aoki2015,10.1186/s12864-015-1600-7
Sesamum_indicum,305,zhang2016b,10.1038/srep31556
Setaria_italica,306,fang2016,10.1186/s12864-016-2628-z
Silene_latifolia,307,bergero2013,10.1534/genetics.113.150755
Sinapis_alba,308,javidfar2013,10.1186/1471-2229-13-142
Solanum_lycopersicum,309,viquezzamora2014,10.1186/1471-2164-15-1152
Solanum_melongena,310,fukuoka2012,10.1007/s00122-012-1815-9
Solanum_pennellii,311,vandenoevervandenelsen2016,10.1111/jipb.12449
Solanum_pimpinellifolium,312,chen2014b,10.1371/journal.pone.0096417
Solanum_tuberosum,313,endelman2016,10.1007/s00122-016-2673-7
Sorghum_bicolor,314,ji2017,10.1186/s12864-016-3430-7
Sparus_aurata,315,palaiokostas2016,10.1534/g3.116.035220
Spinacia_oleracea,316,channavarrete2015,10.1007/s10681-015-1618-6
Strongyloides_ratti,317,nemetschke2010,10.1016/j.molbiopara.2009.10.008
Sus_scrofa,318,tortereau2012,10.1186/1471-2164-13-586
Taeniopygia_guttata,319,backstrom2010,10.1101/gr.101410.109
Takifugu_rubripes,320,kai2011,10.1093/gbe/evr041
Taraxacum_koksaghyz,321,arias2016,10.1038/srep31031
Theobroma_cacao,322,royaert2016,10.1186/s12864-016-2415-x
Thunnus_orientalis,323,uchino2016,10.4236/abb.2016.72010
Tigriopus_californicus,324,foley2011,10.1186/1471-2164-12-568
Tribolium_castaneum,325,lorenzen2005,10.1534/genetics.104.032227
Tribolium_confusum,326,yezerski2003,10.1046/j.1365-2583.2003.00438.x
Trichogramma_brassicae,327,laurent1998,10.1093/genetics/150.1.275
Trifolium_pratense,328,hirakawa2016,
Trifolium_repens,329,griffiths2013,10.1186/1471-2164-14-388
Trifolium_subterraneum,330,ghamkhar2011,10.1007/s11032-011-9612-8
Triticum_aestivum,331,zhai2016,10.3389/fpls.2016.01617
Trypanosoma_brucei,332,macleod2005,10.1093/nar/gki980
Undaria_pinnatifida,333,shan2015,10.1186/s12864-015-2184-y
Vaccinium_corymbosum,334,mccallum2016,10.1007/s11032-016-0443-5
Vaccinium_macrocarpon,335,covarrubiaspazaran2016,10.1186/s12864-016-2802-3
Vanilla_tahitensis,336,lepersandrzejewski2012,10.2135/cropsci2010.11.0634
Vespula_vulgaris,337,sirvio2011,10.1186/1471-2156-12-95
Vicia_faba,338,kaur2014,10.1016/j.plantsci.2013.11.014
Vigna_angularis,339,liu2016d,10.1038/srep39523
Vigna_mungo,340,gupta2008,10.1139/g08-050
Vigna_radiata,341,wang2016,10.1016/j.cj.2016.06.010
Vigna_unguiculata,342,kongjaimun2012,10.1139/g11-078
Vigna_vexillata,343,marubodee2015,10.1371/journal.pone.0138942
Vitis_amurensis,344,liu2013c,
Vitis_cinerea,345,zhang2009,10.1007/s00122-009-1107-1
Vitis_vinifera,346,guo2015b,10.3389/fpls.2015.00393
Xenopus_tropicalis,347,wells2011,10.1016/j.ydbio.2011.03.022
Xiphophorus_maculatus,348,amores2014,10.1534/genetics.114.164293
Zea_mays,349,zhou2016b,10.1186/s12864-016-2555-z
Ziziphus_jujuba,350,zhang2016c,10.1007/s11295-016-1032-9
Zoysia_japonica,351,wang2015c,10.1111/tpj.12842
Zoysia_matrella,352,huang2016,10.1186/s12864-016-2969-7
Zymoseptoria_tritici,353,lendenmann2014,10.1534/g3.114.015289
