source_row,species,si_first_author_in_data,year_in_data,si_ref_number,ref_id,doi,needs_reference
71,Brassica_rapa,Yu,2016,56.0,yu2016,10.1007/s11032-016-0467-x,False
72,Caenorhabditis_briggsae,Corbet-Detig,2015,,,,True
73,Caenorhabditis_elegans,Corbet-Detig,2015,,,,True
74,Cajanus_cajan,Bohra,2012,57.0,bohra2012,10.1007/s00122-012-1916-5,False
75,Callitris_glaucophylla,Sakaguchi,2015,,,,True
76,Camelina_sativa,Gehringer,2006,58.0,gehringer2006,10.1139/g06-117,False
77,Camellia_sinensis,Taniguchi,2012,59.0,taniguchi2012,10.1270/jsbbs.62.263,False
78,Canis_lupus,Corbet-Detig,2015,60.0,wong2010,10.1534/genetics.109.106831,False
79,Canis_lupus,Wong,2010,60.0,wong2010,10.1534/genetics.109.106831,False
80,Capra_hircus,Schibler,1998,61.0,schibler1998,10.1101/gr.8.9.901,False
81,Capsella_bursa-pastoris,Linde,2001,62.0,linde2001,10.1006/anbo.2000.1308,False
82,Capsella_rubella,Corbet-Detig,2015,,,,True
83,Capsicum_annuum,Han,2016,63.0,han2016,10.1093/dnares/dsv038,False
84,Capsicum_baccatum,Lee,2016,64.0,lee2016,10.1007/s11032-016-0485-8,False
85,Carassius_auratus,Kuang,2016,65.0,kuang2016,10.1038/srep34849,False
86,Carica_papaya,Chen,2007,66.0,chen2007,10.1534/genetics.107.081463,False
87,Carthamus_tinctorius,Bowers,2016,67.0,bowers2016,10.1534/g3.115.026690,False
88,Castanea_mollissima,Kubisiak,2013,68.0,kubisiak2012,10.1007/s11295-012-0579-3,False
89,Catharanthus_roseus,Sharma,2011,69.0,sharma2012,10.1007/s12041-012-0150-x,False
90,Ceratopteris_richardii,Nakazato,2006,70.0,nakazato2006,10.1534/genetics.106.055624,False
91,Cervus_elaphus,Johnston,2017,,,,True
92,Chenopodium_quinoa,Maughan,2012,71.0,maughan2012,10.3835/plantgenome2012.06.0011,False
93,Chimonanthus_praecox,Chen,2010,72.0,chen2010a,10.1016/j.scienta.2009.12.008,False
94,Chlamydomonas_reinhardtii,Kathir,2003,73.0,kathir2003,10.1128/ec.2.2.362-379.2003,False
95,Chlamys_farreri,Zhan,2009,74.0,zhan2009b,10.1111/j.1365-2052.2009.01920.x,False
96,Chlamys_noblis,Yuan,2010,,,,True
97,Chrysanthemum_morifolium,Zhang,2011,,,,True
98,Cicer_arietinum,Gaur,2015,75.0,gaur2015,10.1038/srep13387,False
99,Ciona_intestinalis,Kano,2007,76.0,kano2006,10.2108/zsj.23.31,False
100,Ciona_savignyi,Hill,2008,77.0,hill2008,10.1101/gr.078576.108,False
101,Citrullus_lanatus,Corbet-Detig,2015,78.0,reddy2014,10.1534/g3.114.012815,False
102,Citrullus_lanatus,Reddy,2014,78.0,reddy2014,10.1534/g3.114.012815,False
103,Citrus_clementina,Corbet-Detig,2015,79.0,ollitrault2012,10.1186/1471-2164-13-593,False
104,Citrus_clementina,Ollitrault,2012,79.0,ollitrault2012,10.1186/1471-2164-13-593,False
105,Citrus_sinensis,Guo,2015,80.0,guo2015a,10.1007/s11295-014-0831-0,False
106,Citrus_unshiu,Shimada,2014,,,,True
107,Clunio_marinus,Kaiser,2012,81.0,kaiser2012,10.1371/journal.pone.0032092,False
108,Cochliobus_sativus,Zhong,2002,,,,True
109,Cocos_nucifera,Riedel,2009,82.0,riedel2008,10.1007/s11295-008-0168-7,False
110,Coffea_arabica,Moncada,2016,83.0,moncada2015,10.1007/s11295-015-0927-1,False
111,Coprinus_cinereus,Muraguchi,2003,84.0,muraguchi2003,10.1016/s1087-1845(03)00087-2,False
112,Corchorus_capsularis,Biswass,2015,85.0,biswas2015,10.1007/s11032-015-0311-8,False
113,Corchorus_olitorius,Kundu,2015,86.0,kundu2015,10.1007/s11032-015-0249-x,False
114,Coregonus_clupeaformis,Gagnaire,2013,87.0,gagnaire2012,10.1111/mec.12127,False
115,Cornus_florida,Wang,2009,88.0,wang2008a,10.1007/s10681-008-9802-6,False
116,Coturnix_japonica,Kikuchi,2005,89.0,kikuchi2005,10.1111/j.1365-2052.2005.01295.x,False
117,Crassostrea_gigas,Hedgecock,2015,90.0,hedgecock2015,10.1534/g3.115.019570,False
118,Crassostrea_virginica,Yu,2003,91.0,yu2003,10.2307/1543603,False
119,Crocodylus_porosus,Miles,2009,92.0,miles2009,10.1186/1471-2164-10-339,False
120,Cryptococcus_neoformans,Marra,2004,93.0,marra2004,10.1534/genetics.103.023408,False
121,Cryptomeria_japonica,Moriguchi,2016,94.0,moriguchi2016,10.1007/s11295-016-1011-1,False
122,Ctenopharyngodon_idella,Xia,2010,95.0,xia2010,10.1186/1471-2164-11-135,False
123,Cucumis_melo,Diaz,2011,96.0,diaz2011,10.1186/1471-2229-11-111,False
124,Cucumis_sativus,Corbet-Detig,2015,97.0,zhu2016,10.3389/fpls.2016.00437,False
125,Cucumis_sativus,Zhu,2016,97.0,zhu2016,10.3389/fpls.2016.00437,False
126,Cucurbita_maxima,Zhang,2015,98.0,zhang2015a,10.1186/s12864-015-2312-8,False
127,Cucurbita_moschata,Gong,2008,99.0,gong2008,10.1139/g08-072,False
128,Cucurbita_pepo,Montero-Pau,2017,100.0,monteropau2017,10.1186/s12864-016-3439-y,False
129,Culex_pipiens,Hickner,2013,101.0,hickner2013,10.1093/jhered/est040,False
130,Culex_tarsalis,Venkatesan,2009,,,,True
131,Cyanistes_caeruleus,Hansson,2010,102.0,hansson2009,10.1038/hdy.2009.107,False
132,Cynara_cardunculus,Portis,2009,103.0,portis2009,10.1007/s00122-009-1159-2,False
133,Cynodon_dactylon,Harris-Shultz,2010,104.0,harrisshultz2010,10.21273/jashs.135.6.511,False
134,Cynodon_dactylon,Harris-Shultz,2010,104.0,harrisshultz2010,10.21273/jashs.135.6.511,False
135,Cynoglossus_semilaevis,Corbet-Detig,2015,105.0,song2012,10.1371/journal.pone.0052097,False
136,Cynoglossus_semilaevis,Song,2012,105.0,song2012,10.1371/journal.pone.0052097,False
137,Cyprinus_carpio,Zhao,2013,106.0,zhao2013a,10.1371/journal.pone.0063928,False
138,Dactylis_glomerata,Zhao,2016,107.0,zhao2016b,10.1038/srep29345,False
139,Danio_rerio,Corbet-Detig,2015,108.0,bradley2011,10.1534/g3.111.000190,False
140,Danio_rerio,Bradley,2011,108.0,bradley2011,10.1534/g3.111.000190,False
141,Daphnia_magna,Dukic,2016,109.0,dukic2016,10.1186/s12863-016-0445-7,False
142,Daphnia_pulex,Cristescu,2006,110.0,cristescu2006,10.1016/j.ygeno.2006.03.007,False
143,Daucus_carota,Cavagnaro,2014,111.0,cavagnaro2014,10.1186/1471-2164-15-1118,False
144,Dendrobium_moniliforme,Lu,2012,,,,True
145,Dendrobium_nobile,Feng,2013,,,,True
146,Dendrobium_officinale,Lu,2012,,,,True
147,Dianthus_caryophyllus,Yagi,2013,112.0,yagi2013,10.1186/1471-2164-14-734,False
148,Dicentrarchus_labrax,Chistiakov,2008,113.0,chistiakov2008,10.1111/j.1365-2052.2008.01786.x,False
149,Drosophila_mediopunctata,Laborda,2012,,,,True
150,Drosophila_melanogaster,Corbet-Detig,2015,,,,True
151,Drosophila_pseudoobscura,Corbet-Detig,2015,,,,True
152,Drosophila_serrata,Stocker,2012,114.0,stocker2012,10.1534/g3.111.001354,False
153,Ectocarpus_siliculosus,Heesch,2010,115.0,heesch2010,10.1111/j.1469-8137.2010.03273.x,False
154,Eimeria_maxima,Blake,2011,116.0,blake2011,10.1016/j.ijpara.2010.09.004,False
155,Eimeria_tenella,Shirley,2000,117.0,shirley2000,10.1101/gr.149200,False
156,Elaeis_guineensis,Ting,2016,118.0,ting2016,10.1186/s12864-016-2607-4,False
157,Elaeis_oleifera,Montoya,2013,119.0,montoya2013,10.1007/s11295-013-0629-5,False
158,Elymus_lanceolatus,Mott,2011,120.0,mott2011,10.1139/g11-045,False
159,Epinephelus_aeneus,Dor,2014,121.0,dor2014,10.1534/g3.114.011387,False
160,Epinephelus_bruneus,Kessuwan,2016,,,,True
161,Epinephelus_coioides,You,2013,,,,True
162,Equus_caballus,Corbet-Detig,2015,122.0,swinburne2006,10.1016/j.ygeno.2005.09.001,False
163,Equus_caballus,Swinburne,2006,122.0,swinburne2006,10.1016/j.ygeno.2005.09.001,False
164,Eragrostis_tef,Zeid,2011,,,,True
165,Eremochloa_ophiuroides,Zheng,2013,123.0,zheng2013,10.1016/j.scienta.2013.03.030,False
166,Eriobotrya_japonica,Fukuda,2016,124.0,fukuda2016,10.1007/s11295-016-1040-9,False
167,Eriocheir_sinensis,Cui,2015,125.0,cui2015,10.1038/hdy.2015.26,False
168,Esox_lucius,RONDEAU,2014,126.0,rondeau2014,10.1371/journal.pone.0102089,False
169,Eucalyptus_camaldulensis,Agrama,2002,127.0,agrama2002,,False
170,Eucalyptus_globulus,Gion,2016,,,,True
171,Eucalyptus_grandis,Hudson,2012,128.0,hudson2012,10.1186/1471-2164-13-240,False
172,Eucalyptus_tereticornis,Li,2015,129.0,li2015a,10.1371/journal.pone.0145144,False
173,Eucalyptus_urophylla,Li,2015,130.0,li2015b,10.1371/journal.pone.0145144,False
174,Eucommia_ulmoides,Li,2014,131.0,li2014a,10.3390/ijms15022053,False
175,Fagopyrum_esculentum,Yabe,2014,132.0,yabe2014,10.1270/jsbbs.64.291,False
176,Felis_silvestris,Li,2016,133.0,li2016,10.1534/g3.116.028746,False
177,Fenneropenaeus_chinensis,Wang,2012,134.0,wang2012,10.1134/s102279541204014x,False
178,Festuca_arundinacea,Dierking,2015,135.0,dierking2015,10.3835/plantgenome2014.07.0032,False
179,Ficedula_albicollis,Backstrom,2008,136.0,backstrom2008,10.1534/genetics.108.088195,False
180,Ficedula_albicollis,Corbet-Detig,2015,136.0,backstrom2008,10.1534/genetics.108.088195,False
181,Fragaria_iinumae,Mahoney,2016,137.0,mahoney2016,10.3835/plantgenome2015.08.0071,False
182,Fragaria_vesca,Davik,2015,138.0,davik2015,10.1371/journal.pone.0137746,False
183,Fragaria_xananassa,Sargent,2016,139.0,sargent2016,10.1016/j.plantsci.2015.07.004,False
184,Fusarium_circinatum,DeVos,2007,140.0,devos2007,10.1016/j.fgb.2007.02.007,False
185,Fusarium_graminearum,Lee,2008,141.0,lee2008,10.1128/aem.01866-07,False
186,Fusarium_oxysporum,Teunissen,2003,142.0,teunissen2003,10.1007/s00438-003-0825-3,False
187,Fusarium_verticillioides,Jurgenson,2002,143.0,jurgenson2002,10.1128/aem.68.4.1972-1979.2002,False
188,Gadus_morhua,Hubert,2010,144.0,hubert2010,10.1186/1471-2164-11-191,False
189,Gallus_gallus,Pengelly,2016,145.0,pengelly2016,10.1038/hdy.2016.47,False
190,Gallus_gallus,Corbet-Detig,2015,145.0,pengelly2016,10.1038/hdy.2016.47,False
191,Gasterosteus_aculeatus,Corbet-Detig,2015,146.0,rastas2015,10.1093/gbe/evv250,False
192,Gasterosteus_aculeatus,Rastas,2016,146.0,rastas2015,10.1093/gbe/evv250,False
193,Gentiana_scabra,Nakatsuka,2012,147.0,nakatsuka2012,10.1186/1471-2164-13-672,False
194,Globodera_rostochiensis,vanderVoort,1999,148.0,vandervoort1999,10.1007/s004380051051,False
195,Glycine_max,Corbet-Detig,2015,149.0,song2016,10.1186/s12864-015-2344-0,False
196,Glycine_max,Song,2016,149.0,song2016,10.1186/s12864-015-2344-0,False
197,Gnathopogon_caerulescens,Kakioka,2013,,,,True
198,Gossypium_arboreum,Badigannavar,2015,,,,True
199,Gossypium_barbadense,Shi,2016,150.0,shi2014,10.1111/jipb.12288,False
200,Gossypium_hirsutum,Jia,2016,151.0,jia2016,10.1186/s12864-016-3269-y,False
201,Gossypium_raimondii,Corbet-Detig,2015,152.0,wang2013,10.1534/g3.113.006890,False
202,Gossypium_raimondii,Wang,2013,152.0,wang2013,10.1534/g3.113.006890,False
203,Gossypium_tomentosum,Hou,2013,153.0,hou2013,10.1007/s12041-013-0286-3,False
204,Haliotis_diversicolor,Ren,2016,154.0,ren2016,10.1016/j.aquaculture.2015.12.026,False
205,Haliotis_midae,Vervalle,2013,155.0,vervalle2013,10.2983/035.032.0115,False
206,Haliotis_rubra,Baranski,2006,,,,True
207,Haplochromis_chilotes,Henning,2017,156.0,henning2014,10.1111/mec.12860,False
208,Haplochromis_sauvagei,Henning,2014,157.0,henning2017,10.1111/evo.13206,False
209,Helianthus_annuus,Celik,2016,158.0,celik2016,10.1007/s11032-016-0558-8,False
210,Heliconius_melpomene,Corbet-Detig,2015,159.0,davey2016,10.1534/g3.115.023655,False
211,Heliconius_melpomene,Davey,2016,159.0,davey2016,10.1534/g3.115.023655,False
212,Heterobasidion_annosum,Lind,2012,,,,True
213,Heterodera_glycines,Atibalentja,2005,160.0,atibalentja2005,10.1007/s00438-005-1125-x,False
214,Hevea_brasiliensis,Shearman,2015,161.0,shearman2015,10.1371/journal.pone.0121961,False
215,Hibiscus_cannabinus,Chen,2011,162.0,chen2011,10.1111/j.1439-0523.2011.01879.x,False
216,Hieracium_,Shirasawa,2015,163.0,shirasawa2014,10.1093/aob/mcu249,False
217,Hippoglossus_hippoglossus,Palaiokostas,2013,164.0,palaiokostas2013,10.1186/1471-2164-14-566,False
218,Homo_sapiens,Corbet-Detig,2015,,,,True
219,Hordeum_vulgare,Zhou,2016,165.0,zhou2016a,10.1186/s12863-016-0438-6,False
220,Humulus_lupulus,Henning,2015,166.0,henning2015,10.1007/s10681-015-1356-9,False
221,Hyla_aborea,Brelsford,2016,167.0,brelsford2015,10.1038/hdy.2015.83,False
222,Hypophthalmichthys_molitrix,Guo,2013,168.0,guo2013,10.1016/j.aquaculture.2013.06.027,False
223,Hypsizygus_marmoreus,Sun,2016,,,,True
224,Hyriopsis_cumingii,Bai,2016,169.0,bai2016,10.1038/srep32608,False
225,Ictalurus_punctatus,Liu,2016,170.0,liu2015a,10.1111/age.12372,False
226,Ipomoea_batatas,Zhao,2013,171.0,zhao2013b,10.1007/s11032-013-9908-y,False
227,Ischnura_elegans,Wellenreuther,2013,,,,True
228,Ixodes_scapularis,Ullmann,2003,172.0,ullmann2003,10.1046/j.1365-2583.2003.00402.x,False
229,Jatropha_curcas,Wu,2015,173.0,wu2015,10.1111/tpj.12761,False
230,Juglans_regia,Zhu,2015,174.0,zhu2015,10.1186/s12864-015-1822-8,False
231,Kryptolebias_marmoratus,Kanomori,2016,175.0,kanamori2016,10.1534/g3.115.022699,False
232,Labeo_rohita,Robinson,2014,176.0,robinson2014,,False
233,Laccaria_bicolor,Labbe,2008,,,,True
234,Lactuca_sativa,Truco,2013,177.0,truco2013,10.1534/g3.112.004929,False
235,Lagerstroemia_,He,2014,,,,True
236,Larimichthys_crocea,Ao,2015,178.0,ao2015,10.3390/ijms161125951,False
237,Larix_kaempferi,Guan,2011,179.0,guan2011,10.5504/bbeq.2011.0007,False
238,Lateolabrax_japonicus,Liu,2016,,,,True
239,Lates_calcarifer,Wang,2017,180.0,wang2017a,10.1186/s12864-016-3462-z,False
240,Laupala,Shaw,2007,,,,True
241,Lens_culinaris,Sudheesh,2016,181.0,sudheesh2016,10.3389/fpls.2016.01604,False
242,Lentinula_edodes,Gong,2016,,,,True
243,Lepisosteus_oculatus,Corbet-Detig,2015,,,,True
244,Lepomis_macrochirus,Wang,2010,182.0,wang2009b,10.1007/s10499-009-9303-1,False
245,Leptinotarsa_decemlineata,Hawthorne,2001,183.0,hawthorne2001b,10.1093/genetics/158.2.695,False
246,Leptopilina_clavipes,Pannebakker,2004,,,,True
247,Lilium_,Shahin,2011,,,,True
248,Linum_usitatissimum,Cloutier,2012,184.0,cloutier2012,10.1007/s00122-012-1953-0,False
249,Litopenaeus_vannamei,Yu,2015,185.0,yu2015,10.1038/srep15612,False
250,Lolium_multiflorum,Guan,2014,186.0,guan2014,10.1111/grs.12055,False
251,Lolium_perenne,Velmurugan,2016,187.0,velmurugan2016,10.1093/aob/mcw081,False
252,Lotus_japonicus,Wang,2008,188.0,wang2008b,10.1093/dnares/dsn022,False
253,Lucania_goodei,Berdan,2014,189.0,berdan2014a,10.1534/g3.114.012096,False
254,Lucania_parva,Berdan,2014,190.0,berdan2014b,10.1534/g3.114.012096,False
255,Luffa_acutangula,Wu,2016,191.0,wu2016,10.3389/fpls.2016.00980,False
256,Lupinus_albus,Vipin,2013,192.0,vipin2013,10.1270/jsbbs.63.292,False
257,Lupinus_angustifolius,Yang,2013,193.0,yang2012,10.1007/s00122-012-1997-1,False
258,Macaca_mulatta,Rogers,2006,194.0,rogers2006,10.1016/j.ygeno.2005.10.004,False
259,Macaca_mulatta,Corbet-Detig,2015,194.0,rogers2006,10.1016/j.ygeno.2005.10.004,False
260,Macropus_eugenii,Wang,2011,195.0,wang2011,10.1186/1471-2156-12-72,False
261,Magnaporthe_grisea,Zheng,2008,196.0,zheng2008,10.1016/j.fgb.2008.07.012,False
262,Malus_domestica,DiPierro,2016,197.0,dipierro2016,10.1038/hortres.2016.57,False
263,Malus_sieversii,Liu,2016,198.0,liu2016a,,False
264,Malus_pumila,Clark,2014,199.0,clark2014,10.1007/s11295-014-0709-1,False
265,Mangifera_indica,Luo,2016,200.0,luo2016a,10.3389/fpls.2016.01310,False
266,Manihot_esculenta,Alaba,2015,201.0,alaba2015,,False
267,Marsupenaeus_japonicus,Lu,2016,202.0,lu2016,10.1007/s00438-016-1192-1,False
268,Medicago_sativa,Li,2014,203.0,li2014b,10.1534/g3.114.012245,False
269,Medicago_truncatula,Corbet-Detig,2015,204.0,gorton2012,10.1534/g3.112.003269,False
270,Medicago_truncatula,Gorton,2012,204.0,gorton2012,10.1534/g3.112.003269,False
271,Melampsora_lini,Anderson,2016,205.0,anderson2016,10.1186/s12864-016-3011-9,False
272,Meleagris_gallopavo,Corbet-Detig,2015,206.0,aslam2010,10.1186/1471-2164-11-647,False
273,Meleagris_gallopavo,Aslam,2010,206.0,aslam2010,10.1186/1471-2164-11-647,False
274,Meloidogyne_hapla,Thomas,2012,207.0,thomas2012,10.1534/g3.112.002261,False
275,Melospiza_melodia,Nietlisbach,2015,208.0,nietlisbach2015,10.1111/1755-0998.12414,False
276,Metriaclima_zebra,O'Quin,2013,209.0,oquin2013,10.1186/1471-2164-14-287,False
277,Microtus_ochrogaster,McGraw,2011,210.0,mcgraw2011,10.1186/1471-2156-12-60,False
278,Mimulus_guttatus,Holeski,2014,211.0,holeski2014,10.1534/g3.113.010124,False
279,Miscanthus_sinensis,Liu,2016,212.0,liu2015b,10.1111/gcbb.12275,False
280,Misgurnus_anguillicaudatus,Morishima,2008,213.0,morishima2007,10.1007/s10709-007-9165-2,False
281,Monodelphis_domestica,Samollow,2007,214.0,samollow2007,10.1007/s10577-007-1123-4,False
282,Mus_musculus,Liu,2014,,,,True
283,Mus_musculus,Corbet-Detig,2015,,,,True
284,Musa_acuminata,Hipplyte,2010,215.0,hippolyte2010,10.1186/1471-2229-10-65,False
285,Musca_domestica,Feldmeyer,2010,,,,True
286,Mustela_vison,Anistoroaei,2007,,,,True
287,Mycosphaerella_fijiensis,Manzo-Sanchez,2008,,,,True
288,Mycosphaerella_graminicola,Kema,2002,216.0,kema2002,10.1093/genetics/161.4.1497,False
289,Nasonia_giraulti,Diao,2016,217.0,diao2016,10.1534/g3.116.029074,False
290,Nasonia_vitripennis,Beukeboom,2010,,,,True
291,Nelumbo_lutea,Zhang,2014,218.0,zhang2014,10.1186/1471-2164-15-372,False
292,Nelumbo_nucifera,Liu,2016,219.0,liu2016b,10.1186/s12864-016-2781-4,False
293,Nicotiana_langsdorffii,Zhang,2012,220.0,zhang2012,10.3389/fpls.2012.00185,False
294,Nicotiana_tabacum,Gong,2016,221.0,gong2016,10.1007/s11032-016-0514-7,False
295,Nilaparvata_lugens,Jairin,2013,222.0,jairin2012,10.1093/dnares/dss030,False
296,Nodipecten_subnodosus,Petersen,2012,,,,True
297,Nothobranchius_furzeri,Kirschner,2012,223.0,kirschner2012,10.1111/j.1474-9726.2011.00780.x,False
298,Olea_europaea,Ipek,2016,224.0,ipek2016,10.1007/s10528-016-9721-5,False
299,Oncorhynchus_kisutch,McClelland,2008,225.0,mcclelland2008,10.1111/j.1365-2052.2008.01699.x,False
300,Oncorhynchus_mykiss,Guyomard,2012,226.0,guyomard2012,10.1186/1471-2156-13-15,False
301,Oncorhynchus_nerka,Larson,2016,227.0,larson2015,10.1093/jhered/esv099,False
302,Oncorhynchus_tshawytscha,McKinney,2016,228.0,mckinney2015,10.1111/1755-0998.12479,False
303,Oreochromis_mossambicus,Liu,2013,229.0,liu2013a,10.1186/1471-2164-14-58,False
304,Oreochromis_niloticus,Kocher,1998,230.0,kocher1998,10.1093/genetics/148.3.1225,False
305,Oryctolagus_cuniculus,Sternstein,2015,231.0,sternstein2015,10.1186/s12863-015-0168-1,False
306,Oryza_rufipogon,Luo,2016,232.0,luo2016b,10.1016/s2095-3119(16)61465-x,False
307,Oryza_sativa,DeLeon,2016,233.0,deleon2016,10.1186/s12284-016-0125-2,False
308,Oryza_sativa,Corbet-Detig,2015,233.0,deleon2016,10.1186/s12284-016-0125-2,False
309,Oryzias_latipes,Corbet-Detig,2015,,,,True
310,Ostrea_edulis,Harrang,2015,234.0,harrang2015,10.1016/j.aquaculture.2015.06.019,False
311,Ostrinia_nubilalis,Streiff,2014,,,,True
312,Ovis_aries,Johnston,2017,235.0,johnston2016,10.1534/genetics.115.185553,False
313,Ovis_aries,Corbet-Detig,2015,235.0,johnston2016,10.1534/genetics.115.185553,False
